Latitude,Longitude 
708753,6276139
678445,6246813
680141,6244327
697003,6265742
711939,6248801
717851,6248772
716421,6244820
713085,6290066
720668,6283823
729399,6274313
738356,6277538
707968,6256009
705533,6261512
771794,6307307
735065,6281576
732160,6284250
762476,6286768
675208,6266493
759921,6270462
766043,6307499
722261,6268365
744879,6284988
709199,6277136
715723,6293325
713413,6241650
670432,6246243
669319,6247722
725825,6293426
791354,6285717
744874,6263882
755544,6282108
769310,6280389
724686,6284060
692834,6272899
732658,6260153
720307,6280361
720335,6280362
742566,6272710
742043,6275773
726226,6296216
722006,6265213
698120,6260210
705893,6252949
702296,6266955
787934,6293152
779435,6293384
780051,6292699
749817,6303792
758862,6298850
768942,6296983
768943,6296983
741511,6304949
725350,6280108
676092,6278168
726847,6260399
724638,6257177
673653,6247609
724407,6272503
770127,6300316
768069,6299175
788384,6291971
690341,6251687
747210,6264691
